PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
38142429;7896181909262;3;10/05/2022;0;;;FALTA ESTOQUE
38142429;7896181922667;1;10/05/2022;0;;;FALTA ESTOQUE
38151188;7896181913252;4;11/05/2022;4;4;00433733;PRODUTO FATURADO
38159907;7896181911036;96;12/05/2022;0;;;FALTA ESTOQUE
38159915;7896181911036;24;12/05/2022;0;;;FALTA ESTOQUE
38173105;7896181918431;7;16/05/2022;0;;;FALTA ESTOQUE
38173105;7896181922667;20;16/05/2022;0;;;FALTA ESTOQUE
38193465;7896181909460;12;18/05/2022;0;;;
18169742;7896181918370;6;14/05/2022;0;;;FALTA ESTOQUE
18169742;7896181924173;6;14/05/2022;0;;;FALTA ESTOQUE
18193457;7896181906384;3;18/05/2022;0;;;
28094974;7896181901198;3;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181916987;8;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181917410;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181928676;10;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28105954;7896181901341;24;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181906322;30;04/05/2022;30;30;00432319;PRODUTO FATURADO
28108012;7896181909262;24;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181909453;24;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181909583;2;04/05/2022;2;2;00432319;PRODUTO FATURADO
28108012;7896181915041;10;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181922933;3;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181924173;12;04/05/2022;0;;;FALTA ESTOQUE
28108012;7898907313858;3;04/05/2022;0;;;FALTA ESTOQUE
18187240;7896181909262;24;17/05/2022;18;18;00434673;PRODUTO ATENDIDO PARCIALMENTE
18187240;7896181909453;24;17/05/2022;0;;;FALTA ESTOQUE
28094974;7896181907343;4;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181909262;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181909279;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181909453;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181911036;10;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181924081;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181924098;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
