PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18094782;7896658008849;2;14/04/2022;2;2;00000000000006019296;ATENDIDO
18094782;7896658038112;3;14/04/2022;3;3;00000000000006019296;ATENDIDO
18094840;7896181914280;10;14/04/2022;0;;;FALTA DE ESTOQUE
18094843;7896181918691;6;14/04/2022;6;6;00000000000006017561;ATENDIDO
18094851;7896658012303;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094851;7896658035791;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094863;7896181909361;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094869;7896658001079;3;14/04/2022;3;3;00000000000001470196;ATENDIDO
18094870;7896181906384;3;14/04/2022;3;3;00000000000016072341;ATENDIDO
18094870;7896181925149;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094883;7896181907077;25;14/04/2022;0;;;PRODUTO DESCONTINUADO
18094883;7896181907220;1;14/04/2022;1;1;00000000000016071940;ATENDIDO
18094885;7896658036347;4;14/04/2022;4;4;00000000000001470241;ATENDIDO
18094886;7896658033575;3;14/04/2022;3;3;00000000000018783773;ATENDIDO
18094888;7896181927044;2;14/04/2022;2;2;00000000000016072717;ATENDIDO
18094889;7896181921363;30;14/04/2022;30;30;00000000000001468737;ATENDIDO
18094896;7896181906582;6;14/04/2022;6;6;00000000000001470263;ATENDIDO
18094898;7896181914303;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094909;7896181904946;8;14/04/2022;8;8;00000000000001470266;ATENDIDO
18094911;7896181914303;3;14/04/2022;0;;;FALTA DE ESTOQUE
18094911;7896181927068;1;14/04/2022;1;1;00000000000016072767;ATENDIDO
18094914;7896181909880;5;14/04/2022;5;5;00000000000001470235;ATENDIDO
18094918;7896181901327;2;14/04/2022;2;2;00000000000004467396;ATENDIDO
18094918;7896181909248;4;14/04/2022;4;4;00000000000004467396;ATENDIDO
18094922;7896658001918;3;14/04/2022;3;3;00000000000000427079;ATENDIDO
18094922;7896658020315;2;14/04/2022;2;2;00000000000000427079;ATENDIDO
18094922;7896658021381;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094930;7896181913511;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094933;7896658002212;1;14/04/2022;1;1;00000000000000427123;ATENDIDO
18094933;7896658002687;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094933;7896658004704;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094933;7896658006401;2;14/04/2022;2;2;00000000000000427123;ATENDIDO
18094933;7896658008764;3;14/04/2022;3;3;00000000000000427123;ATENDIDO
18094933;7896658015427;2;14/04/2022;2;2;00000000000000427123;ATENDIDO
18094933;7896658018879;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094933;7896658027123;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094933;7896658033445;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094936;7896181914303;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094937;7896181924081;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094941;7896181914280;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094942;7896181922667;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094942;7896181925866;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094954;7896658002113;2;14/04/2022;2;2;00000000000003051346;ATENDIDO
18094954;7896658036057;2;14/04/2022;2;2;00000000000003051346;ATENDIDO
